wsid,name,country,province,icao,latitude,longitude,elevation,begin_date,end_date
702223-26602,KOYUK AIRPORT,US,AK,PAKK,+64.935,-161.155,+0033.5,2006-01-01,2025-06-05
702223-99999,KOYUK AIRPORT,US,AK,PAKK,+64.933,-161.167,+0037.0,1976-05-03,2005-12-31
702224-99999,EAGLE AIRPORT,US,AK,,+64.783,-141.150,+0268.0,1981-06-19,1995-05-12
702225-99999,HUSLIA,US,AK,PAHS,+65.700,-156.383,+0055.0,1994-01-03,1997-12-31
702310-26510,MCGRATH AIRPORT,US,AK,PAMC,+62.957,-155.610,+0101.0,1973-01-01,2025-06-05
702312-26519,FAREWELL LAKE,US,AK,PAFK,+62.540,-153.617,+0321.0,1997-04-02,1997-05-22
702312-26555,FAREWELL LAKE SEAPLANE BASE,US,AK,PAFK,+62.543,-153.623,+3207.7,2006-01-01,2014-04-19
702312-99999,FAREWELL LAKE,US,AK,PAFK,+62.540,-153.617,+0321.0,2000-01-01,2005-12-31
702315-26536,TATALINA LRRS AIRPORT,US,AK,PATL,+62.894,-155.976,+0293.8,2006-01-01,2025-06-05
702315-99999,TATALINA LRRS,US,AK,PATL,+62.883,-155.967,+0294.0,1952-04-01,1997-12-31
702320-26516,ANIAK AIRPORT,US,AK,PANI,+61.582,-159.543,+0025.9,1973-01-01,2025-06-05
702320-99999,ANIAK,US,AK,PANI,+61.583,-159.533,+0026.0,2000-01-01,2003-12-31
702325-26443,WASILLA AIRPORT,US,AK,PAWS,+61.572,-149.541,+0107.9,2004-07-02,2025-06-05
702325-99999,WASILLA,US,AK,PAWS,+61.572,-149.540,+0108.0,1998-02-26,2004-12-31
702350-26534,SPARREVOHN LRRS AIRPORT,US,AK,PASV,+61.100,-155.583,+0484.0,2006-01-01,2025-06-05
702350-99999,SPARREVOHN AFS,US,AK,PASV,+61.100,-155.567,+0484.0,1951-07-11,1997-12-31
702460-26512,MINCHUMINA,US,AK,PAMH,+63.886,-152.302,+0206.7,1973-01-01,2025-06-05
702460-99999,MINCHUMINA,US,AK,PAMH,+63.900,-152.267,+0214.0,2000-01-01,2004-12-30
702480-99999,FAREWELL/INTERMEDIATE FIELD,US,,,+62.517,-153.883,+0458.0,1973-01-01,1984-06-05
702483-99999,FAREWELL LAKE,US,AK,PAFW,+62.533,-153.617,+0323.0,1985-01-30,1996-04-25
702490-26526,PUNTILLA LAKE,US,AK,PAPT,+62.091,-152.735,+0566.3,2006-01-01,2025-06-05
702490-99999,PUNTILLA,US,AK,PAPT,+62.100,-152.750,+0560.0,1973-01-01,1997-12-31
702495-26547,HAYES RIVER AIRPORT,US,AK,PAHZ,+61.983,-152.083,+0305.1,2006-01-01,2011-01-27
702495-99999,HAYES RIVER AIRPORT,US,AK,PAHZ,+61.980,-152.080,+0305.0,1973-01-01,1997-12-31
702510-26528,TALKEETNA AIRPORT,US,AK,PATK,+62.320,-150.097,+0106.8,1973-01-01,2025-06-05
702520-99999,TALKEETNA  AK,US,AK,,+62.300,-150.417,+0151.0,2005-02-13,2005-02-13
702550-26514,SKWENTNA AIRPORT,US,AK,PASW,+61.977,-151.217,+0045.7,1973-01-01,1997-12-30
702550-99999,SKWENTNA,US,AK,PASW,+61.967,-151.183,+0045.0,2000-01-01,2004-12-31
702590-26523,KENAI MUNICIPAL AIRPORT,US,AK,PAEN,+60.579,-151.242,+0030.2,1973-01-01,2025-06-05
702595-26559,SOLDOTNA AIRPORT,US,AK,PASX,+60.476,-151.034,+0034.4,2006-01-01,2025-06-05
702595-99999,SOLDOTNA,US,AK,PASX,+60.467,-151.033,+0034.0,1983-05-02,1997-12-31
702600-26435,NENANA MUNICIPAL AIRPORT,US,AK,PANN,+64.547,-149.087,+0110.1,1943-07-06,2025-06-05
702600-99999,NENANA/MUN.,US,AK,PANN,+64.550,-149.083,+0110.0,2000-01-01,2003-12-31
702605-99999,CLEAR,US,AK,PACL,+64.301,-149.120,+0168.2,1947-10-10,1947-11-30
702606-96401,CHULITNA,US,AK,PAEC,+62.826,-149.907,+0426.7,2006-01-01,2024-01-16
702606-99999,CHULITNA AIRPORT,US,AK,PAEC,+62.883,-149.833,+0381.0,1978-11-30,1997-12-31
702607-25378,HOONAH SEAPLANE BASE,US,AK,PAOH,+58.096,-135.409,+0000.0,2006-01-01,2025-06-05
702607-99999,HOONAH SEAPLANE BASE,US,AK,PAOH,+58.120,-135.417,+0006.0,1978-11-24,1997-12-31
702610-26411,FAIRBANKS INTERNATIONAL,US,AK,PAFA,+64.803,-147.876,+0131.1,1946-01-01,2025-06-05
702615-26498,WAINWRIGHT AAF AIRPORT,US,AK,PAFB,+64.838,-147.614,+0138.4,2006-01-03,2025-06-05
702615-99999,WAINWRIGHT AAF,US,AK,PAFB,+64.833,-147.617,+0140.0,1941-02-06,1997-12-31
702616-99999,OLD MAN,US,AK,,+66.450,-150.583,+0389.0,1975-01-08,1976-11-23
702625-00104,NIKOLAI AIRPORT,US,AK,PAFS,+63.017,-154.367,+0126.2,2006-10-24,2025-06-05
702625-99999,NIKOLAI,US,AK,PAFS,+63.020,-154.360,+0126.0,2008-01-01,2008-12-31
702626-99999,PILOT POINT,US,AK,PAPN,+57.580,-157.580,+0017.0,2006-10-24,2025-06-04
702627-26561,RUBY AIRPORT,US,AK,PARY,+64.727,-155.470,+0199.0,2006-10-01,2025-06-05
702628-00105,MARSHALL DON HUNTER SR AIRPORT,US,AK,PADM,+61.867,-162.033,+0031.1,2006-10-24,2025-06-05
702628-99999,MARSHALL DON HUNTER SR,US,AK,PADM,+61.864,-162.026,+0031.4,2008-01-01,2008-12-31
702629-99999,CAPE DECISION CG HELIPORT,US,AK,,+56.000,-134.133,+0010.0,2008-09-15,2011-06-08
702640-26414,SUMMIT,US,AK,PAST,+63.331,-149.127,+0734.3,1973-01-01,1984-01-07
702645-46403,MCKINLEY NATIONAL PARK AIRPORT,US,AK,PAIN,+63.733,-148.917,+0524.3,2006-01-01,2025-06-05
702645-99999,MCKINLEY NATIONAL PK,US,AK,PAIN,+63.733,-148.917,+0524.0,1975-12-02,2005-12-31
702646-99999,MT MCKINLEY NATL PK,US,AK,,+63.650,-148.800,+0625.0,1976-01-16,1976-04-27
702647-26499,HEALY RIVER AIRPORT,US,AK,PAHV,+63.866,-148.969,+3945.3,2006-01-01,2012-06-08
702647-99999,HEALY RIVER AIRPORT,US,AK,PAHV,+63.870,-148.970,+0394.0,1976-12-21,1997-12-31
702648-46406,CANTWELL AIRPORT,US,AK,PATW,+63.391,-148.956,+0667.5,2006-01-02,2011-08-27
702648-99999,CANTWELL CANTWELL,US,AK,PATW,+63.400,-148.950,+0668.0,1983-11-03,1997-12-31
702650-26407,EIELSON AFB AIRPORT,US,AK,PAEI,+64.683,-147.083,+0166.7,2006-01-02,2025-06-05
702650-99999,FAIRBANKS/EIELSON A,US,AK,PAEI,+64.650,-147.067,+0167.0,1944-11-11,1997-12-31
702653-99999,EIELSON AFB       &,US,AK,,+64.650,-147.067,+0167.0,1975-08-14,1975-08-14
702660-99999,FORT GREELY  AK,US,AK,,+63.967,-145.700,+0398.0,1944-06-26,1990-06-28
702670-26415,ALLEN ARMY AIRFIELD,US,AK,PABI,+63.993,-145.721,+0388.1,1945-10-15,2025-06-05
702673-99999,BIG DELTA ARCTIC WX,US,AK,,+64.000,-145.717,+0389.0,1980-03-03,1984-12-04
702674-99999,CIRCLE CITY AIRPORT,US,AK,,+65.833,-144.067,+0182.0,1979-05-07,1997-12-31
702675-26484,PAXSON AIRPORT,US,AK,PAXK,+63.032,-145.498,+0823.0,2006-01-01,2010-10-03
702675-99999,PAXSON,US,AK,PAXK,+63.033,-145.500,+0809.0,1974-04-19,1997-12-31
702677-99999,ISABELL PASS CAMP,US,AK,Z32,+63.083,-145.500,+0978.0,1975-09-29,1976-12-02
702680-99999,GLENNALLEN  AK,US,AK,,+62.100,-145.967,+0573.0,1975-04-01,1990-05-04
702685-27518,ATQASUK EDWARD BURNELL SR. MEMORIAL AIRPORT,US,AK,PATQ,+70.467,-157.436,+0029.3,2006-05-01,2025-06-05
702686-00106,KIPNUK AIRPORT,US,AK,PAKI,+59.932,-164.028,+0005.9,2006-05-01,2025-01-24
702686-99999,AKIAK,US,AK,PAKI,+60.903,-161.231,+0009.1,2008-01-01,2008-12-31
702695-96402,JONESVILLE MINE AIRPORT,US,AK,PAJV,+61.714,-148.909,+0167.6,2006-01-01,2011-11-02
702695-99999,SUTTON,US,AK,PAJV,+61.717,-148.883,+0265.0,1992-04-16,1997-12-31
702696-99999,LAZY MTN/WOLVERINE,US,AK,,+61.633,-149.033,+0236.0,1978-03-15,2004-02-14
702697-00107,NEW STUYAHOK AIRPORT,US,AK,PANW,+59.450,-157.333,+0092.1,2006-10-10,2025-06-05
702697-99999,NEW STUYAHOK,US,AK,PANW,+59.450,-157.330,+0092.0,2008-01-01,2008-12-31
702700-00489,BRYANT ARMY AIRFIELD HELIPORT,US,AK,PAFR,+61.266,-149.653,+0118.3,2013-04-15,2025-06-05
702700-99999,FT. RICHARDSON/BRYANT AHP  AK,US,,PAFR,+61.267,-149.650,+0115.0,1973-12-01,2003-03-04
702710-26425,GULKANA AIRPORT,US,AK,PAGK,+62.159,-145.459,+0481.1,1945-01-01,2025-06-05
702711-26439,SHEEP MOUNTAIN AIRPORT,US,AK,PASP,+61.812,-147.507,+0853.4,2005-01-01,2011-11-01
702711-99999,SHEEP MOUNTAIN,US,AK,PASP,+61.817,-147.550,+0799.0,1997-02-03,1997-12-31
702715-46407,SKELTON AIRPORT,US,AK,PAZK,+61.949,-147.169,+1002.5,2006-01-01,2025-06-05
702715-99999,EUREKA SKELTON AIR,US,AK,PAZK,+61.933,-147.167,+1002.0,1995-07-08,2005-12-31
702716-99999,TAHNETA PASS,US,AK,5GN,+61.817,-147.550,+0900.0,1973-01-02,1996-01-04
702717-99999,SELAWIK,US,AK,PALK,+66.600,-159.986,+0007.6,1973-01-01,1997-12-31
702719-99999,SNOWSHOE LAKE,US,AK,,+62.033,-142.667,+0735.0,1975-09-17,1976-12-07
702720-26401,ELMENDORF AFB AIRPORT,US,AK,PAED,+61.253,-149.794,+0064.6,2006-01-01,2025-06-05
702720-99999,ANCHORAGE/ELMENDORF,US,AK,PAED,+61.250,-149.800,+0059.0,1941-03-10,1997-12-31
702725-26491,LAKE HOOD SEAPLANE BASE,US,AK,PALH,+61.179,-149.965,+0025.1,2002-01-01,2025-06-05
702725-99999,ANCHORAGE LAKE HOOD,US,AK,PALH,+61.183,-149.967,+0022.0,1973-01-04,1997-12-30
702730-26451,TED STEVENS ANCHORAGE INTL,US,AK,PANC,+61.169,-150.028,+0038.0,1973-01-01,2025-06-05
702735-26409,MERRILL FIELD AIRPORT,US,AK,PAMR,+61.216,-149.857,+0038.4,1945-01-01,2025-06-05
702735-99999,MERRILL FLD,US,AK,PAMR,+61.200,-149.833,+0042.0,2000-01-01,2003-12-31
702736-99999,FT RICHARDSON/BRYN&,US,AK,,+61.267,-149.650,+0115.0,1976-06-25,1983-07-21
702740-25331,PALMER MUNICIPAL AIRPORT,US,AK,PAAQ,+61.595,-149.092,+0070.9,1999-01-01,2025-06-05
702740-99999,PALMER,US,AK,PAAQ,+61.595,-149.089,+0074.0,1973-01-01,1997-12-31
702745-26560,WILLOW AIRPORT,US,AK,PAUO,+61.748,-150.054,+0062.5,2006-01-01,2011-11-01
702745-99999,WILLOW AIRPORT,US,AK,PAUO,+61.754,-150.052,+0067.0,1991-02-07,1997-12-31
702746-26497,BIRCHWOOD AIRPORT,US,AK,PABV,+61.416,-149.507,+0029.3,2006-01-01,2025-06-05
702746-99999,BIRCHWOOD,US,AK,PABV,+61.417,-149.500,+0029.0,1994-01-03,1997-12-31
702750-26442,NATIONAL WEATHER SERVICE OFFICE,US,AK,PAVW,+61.130,-146.352,+0029.0,1973-01-01,1997-12-31
702754-99999,VALDEZ,US,AK,,+61.133,-146.250,+0037.0,1996-08-15,1996-10-09
702755-46404,MCCARTHY AIRPORT,US,AK,PAMX,+61.437,-142.904,+0466.7,2006-01-01,2014-09-01
702755-99999,MCCARTHY,US,AK,PAMX,+61.433,-142.933,+0455.0,1974-04-21,1997-12-31
702756-26479,VALDEZ PIONEER FIELD AIRPORT,US,AK,PAVD,+61.132,-146.244,+0018.3,2006-01-01,2025-06-05
702756-99999,VALDEZ PIONEER FIEL,US,AK,PAVD,+61.133,-146.250,+0036.0,1975-05-01,1997-12-31
702757-26444,WHITTIER AIRPORT,US,AK,PAWR,+60.783,-148.733,+0011.9,2006-01-01,2024-11-01
702757-99999,WHITTIER,US,AK,PAWR,+60.767,-148.683,+0009.0,1975-05-01,1997-12-31
702758-27517,ALPINE AIRSTRIP,US,AK,PALP,+70.344,-150.945,+0005.5,2006-01-01,2025-06-05
702758-99999,DEADHORSE ALPINE AIR,US,AK,PALP,+70.333,-150.933,+0005.0,2004-06-08,2005-12-31
702759-99999,KOROR,PS,,PTKR,+07.333,+134.483,+0030.0,2004-06-08,2008-12-31
702770-26438,SEWARD AIRPORT,US,AK,PAWD,+60.129,-149.418,+0004.1,2006-01-01,2025-06-05
702770-99999,SEWARD,US,AK,PAWD,+60.117,-149.450,+0018.0,1945-01-01,1997-12-31
702790-26417,CAPE HINCHINBROOK,US,AK,,+60.233,-146.650,+0056.0,1974-01-01,1980-06-22
702795-99999,HINCHINBROOK,US,AK,,+60.400,-146.083,+0110.0,1973-01-01,1974-05-29
702910-26412,NORTHWAY AIRPORT,US,AK,PAOR,+62.961,-141.938,+0523.2,1945-01-01,2025-06-05
702913-46402,DEVILS MOUNTAIN LODGE AIRPORT,US,AK,PABN,+62.402,-142.995,+0877.8,2006-01-01,2014-10-01
702913-99999,NABESNA/DEVIL MTN,US,AK,PABN,+62.400,-143.000,+0878.0,1992-04-16,1997-12-31
702915-26486,DUFFY'S TAVERN AIRPORT,US,AK,PADT,+62.700,-143.980,+0730.0,2006-01-01,2011-07-01
702915-99999,SLANA AIRPORT,US,AK,PADT,+62.700,-143.983,+0730.0,1974-09-04,1997-12-31
702923-26440,TANACROSS,US,AK,TSG,+63.383,-143.333,+0472.0,1944-05-22,1950-09-01
702924-99999,TOK,US,AK,PATJ,+63.317,-142.717,+0509.0,1977-10-06,1985-07-29
702960-26410,M.K.(MUDHOLE) SMITH ARPT,US,AK,PACV,+60.486,-145.445,+0014.7,1942-06-11,2025-06-05
702965-99999,JOHNSTONE POINT,US,AK,,+60.483,-146.600,+0014.0,1975-04-01,1982-07-29
702980-26445,YAKATAGA,US,AK,PACY,+60.083,-142.500,+0011.0,1973-03-15,1999-07-06
702980-99999,YAKATAGA,US,,PACY,+60.083,-142.500,+0011.0,2001-07-06,2002-06-05
702986-26557,BIG RIVER LAKE,US,AK,PALV,+60.814,-152.297,+0018.3,2006-01-01,2019-08-08
702986-99999,BIG RIVER LAKE,US,AK,PALV,+60.817,-152.300,+0012.0,1978-08-23,1997-12-31
702987-99999,NIGHTMUTE,US,AK,,+60.467,-164.700,+0004.0,1984-09-11,1985-05-09
703050-25623,CAPE HEWENHAM LRRS AIRPORT,US,AK,PAEH,+58.650,-162.067,+0164.9,2006-01-01,2025-06-05
703050-99999,CAPE NEWENHAM AFS,US,AK,PAEH,+58.650,-162.067,+0161.0,1953-07-26,1997-12-31
703051-26521,HOLY CROSS AIRPORT,US,AK,PAHC,+62.183,-159.767,+0006.1,2006-01-01,2025-06-05
703051-99999,HOLY CROSS,US,AK,PAHC,+62.183,-159.783,+0021.0,2005-09-29,2005-12-31
703052-26652,KALSKAG AIRPORT,US,AK,PALG,+61.536,-160.341,+0016.8,2006-01-17,2025-06-05
703052-99999,KALSKAG,US,AK,PALG,+61.533,-160.333,+0017.0,2005-09-29,2005-11-30
703053-26654,RUSSIAN MISSION AIRPORT,US,AK,PARS,+61.775,-161.319,+0015.5,2006-01-01,2025-06-05
703053-99999,RUSSIAN MISSION,US,AK,PARS,+61.767,-161.317,+0015.0,1976-05-12,2005-12-31
703054-00108,SCAMMON BAY AIRPORT,US,AK,PACM,+61.850,-165.567,+0004.3,2005-09-29,2025-02-06
703054-99999,SCAMMON BAY,US,AK,PACM,+61.845,-165.571,+0004.3,2008-01-01,2008-12-31
703055-00109,MANOKOTAK AIRPORT,US,AK,PAMB,+58.983,-159.050,+0015.9,2005-09-29,2025-06-05
703055-99999,MANOKOTAK,US,AK,PAMB,+58.990,-159.050,+0016.0,2008-01-01,2008-09-19
703056-26635,MOUNTAIN VILLAGE AIRPORT,US,AK,PAMO,+62.095,-163.682,+0102.7,2006-01-01,2025-06-05
703056-99999,MOUNTAIN VILLAGE,US,AK,PAMO,+62.100,-163.683,+0015.0,2005-09-29,2005-12-31
703057-26653,TOKSOOK BAY AIRPORT,US,AK,PAOO,+60.541,-165.087,+0018.0,2006-01-01,2024-09-10
703057-99999,TOOKSOK BAY,US,AK,PAOO,+60.533,-165.083,+0021.0,2005-09-29,2005-12-31
703058-00110,NELSON LAGOON AIRPORT,US,AK,PAOU,+56.017,-161.167,+0004.3,2005-09-30,2025-06-05
703058-99999,NELSON LAGOON,US,AK,PAOU,+56.010,-161.160,+0004.0,2008-01-01,2008-12-31
703059-99999,KING COVE,US,,PAVC,+55.116,-162.267,+0045.0,2005-09-30,2025-06-04
703061-25521,IGIUGIG AIRPORT,US,AK,PAIG,+59.324,-155.902,+0027.4,2006-01-01,2025-06-05
703061-99999,IGIUGIG,US,AK,PAIG,+59.300,-155.900,+0027.0,2005-09-29,2005-12-31
703080-25713,ST PAUL ISLAND AIRPORT,US,AK,PASN,+57.155,-170.223,+0008.0,1943-11-05,2025-06-05
703160-25624,COLD BAY AIRPORT,US,AK,PACD,+55.221,-162.732,+0022.0,1942-03-04,2025-06-05
703165-25617,SAND POINT AIRPORT,US,AK,PASD,+55.319,-160.521,+0006.4,2005-01-01,2025-06-05
703165-99999,SAND POINT,US,AK,,+55.333,-160.500,+0006.0,1973-01-07,1997-12-31
703210-25513,DILLINGHAM AIRPORT,US,AK,PADL,+59.050,-158.517,+0026.2,2006-01-01,2025-06-05
703210-99999,DILLINGHAM MUNI,US,AK,PADL,+59.050,-158.517,+0029.0,1973-01-01,1997-12-31
703260-25503,KING SALMON AIRPORT,US,AK,PAKN,+58.683,-156.656,+0020.0,1942-01-10,2025-06-05
703263-99999,KING SALMON,US,AK,,+58.683,-156.683,+0017.0,1980-10-02,1996-06-30
703330-25508,PORT HEIDEN AIRPORT,US,AK,PAPH,+56.959,-158.632,+0026.8,2006-01-01,2025-06-05
703330-99999,PORT HEIDEN,US,AK,PAPH,+56.950,-158.617,+0029.0,1942-08-03,1997-12-31
703333-25518,CHIGNIK AIRPORT,US,AK,PAJC,+56.311,-158.373,+0005.5,2006-01-01,2025-04-10
703333-99999,CHIGNIK AIRPORT,US,AK,PAJC,+56.310,-158.367,+0006.0,1998-02-26,2005-12-31
703334-25519,EGEGIK AIRPORT,US,AK,PAII,+58.185,-157.386,+0028.0,2006-01-01,2025-06-05
703334-99999,EGEGIK(AWOS),US,AK,PAII,+58.417,-157.367,+0028.0,1993-05-20,2005-12-31
703335-99999,SOUTH NAKNEK ARPT,US,AK,PFWS,+58.700,-157.000,+0049.4,1994-08-18,2025-06-04
703400-25506,ILIAMNA AIRPORT,US,AK,PAIL,+59.749,-154.909,+0046.4,1973-01-01,2025-06-05
703406-26546,PORT ALSWORTH AIRPORT,US,AK,PALJ,+60.204,-154.316,+0079.3,2005-01-01,2025-02-28
703406-99999,PORT ALSWORTH AIR,US,AK,PALJ,+60.200,-154.317,+0085.0,1973-01-01,1997-12-31
703407-26553,SLEETMUTE AIRPORT,US,AK,PASL,+61.717,-157.150,+0054.3,2006-01-01,2025-06-05
703407-99999,SLEETMUTE,US,AK,PASL,+61.717,-157.150,+0054.0,1994-03-14,1997-12-31
703410-25507,HOMER AIRPORT,US,AK,PAHO,+59.642,-151.491,+0019.1,1973-01-01,2025-06-05
703430-25402,MIDDLETON ISLAND METEOROLOGY RADAR SITE,US,AK,PAMD,+59.433,-146.333,+0030.5,1945-01-01,2025-06-05
703430-25403,MIDDLETON ISLAND,US,AK,PAMD,+59.433,-146.333,+0014.0,1977-11-01,1997-12-31
703430-99999,MIDDLETON ISLAND,US,AK,PAMD,+59.433,-146.333,+0014.0,2000-01-01,2004-12-31
703431-25402,MIDDLETON ISLAND AUT,US,AK,PAMD,+59.433,-146.333,+0014.0,1973-01-05,1977-11-21
703500-25501,KODIAK AIRPORT,US,AK,PADQ,+57.751,-152.488,+0005.0,1945-01-01,2025-06-05
703570-99999,SITKINAK(USCG),US,AK,,+56.550,-154.133,+0017.0,1973-01-04,1979-01-05
703600-99999,CAPE SAINT ELIAS,US,AK,,+59.800,-144.600,+0018.0,1973-01-01,1981-04-24
703604-99999,HOMER,US,AK,,+59.633,-151.467,+0026.0,1979-03-16,1997-12-31
703605-25604,PLATINUM AIRPORT,US,AK,PAPM,+59.011,-161.820,+0004.6,2006-03-23,2025-06-05
703605-99999,PLATINUM,US,AK,PAPM,+59.000,-161.817,+0005.0,1942-10-01,2005-09-27
703606-25629,TOGIAK AIRPORT,US,AK,PATG,+59.067,-160.367,+0006.1,2006-01-01,2025-06-05
703606-99999,TOGIAK,US,AK,PATG,+59.050,-160.383,+0006.0,1989-12-01,1997-12-31
703609-99999,COLDFOOT AIRPORT,US,AK,PACX,+67.252,-150.204,+0317.6,2023-09-26,2025-06-04
703610-25339,YAKUTAT AIRPORT,US,AK,PAYA,+59.512,-139.671,+0012.6,1941-05-01,2025-06-05
703615-99999,OCEAN CAPE (CGS),US,AK,,+59.517,-139.767,+0003.0,1977-06-10,1977-06-10
703620-25335,SKAGWAY AIRPORT,US,AK,PAGY,+59.454,-135.328,+0007.4,1943-10-01,2025-06-05
703621-25516,SELDOVIA AIRPORT,US,AK,PASO,+59.446,-151.707,+0008.7,2006-01-01,2025-06-05
703621-99999,SELDOVIA ARPT,US,AK,PASO,+59.450,-151.700,+0009.0,1998-03-16,2005-12-31
703625-99999,HAINES BOAT HARBOR,US,AK,,+59.233,-135.433,+0010.0,1973-07-19,1996-04-29
703626-25323,HAINES,US,AK,PAHN,+59.243,-135.511,+0006.4,1996-06-13,2025-06-05
703627-99999,PEDRO BAY,US,AK,,+59.783,-154.133,+0014.0,2004-07-02,2004-09-28
703640-99999,ELDRED ROCK,US,AK,,+58.967,-135.217,+0010.0,1973-01-01,2001-07-18
703644-27515,NUIQSUT AIRPORT,US,AK,PAQT,+70.213,-150.994,+0011.3,2006-01-01,2025-06-04
703644-99999,NUIQSUT,US,AK,PAQT,+70.200,-151.000,+0012.0,1999-01-14,2005-12-31
703650-25316,CAPE SPENCER,US,AK,KCSP,+58.200,-136.633,+0027.1,1973-01-01,1989-10-11
703655-26552,HUSLIA AIRPORT,US,AK,PAHL,+65.698,-156.351,+0054.9,2006-01-01,2025-05-31
703655-99999,HUSLIA,US,AK,PAHL,+65.700,-156.633,+0065.0,2004-12-28,2005-12-31
703656-99999,QUINHAGAK AIRPORT,US,AK,PAQH,+59.750,-161.833,+0013.0,2014-02-11,2025-06-04
703670-25322,GUSTAVUS,US,AK,PAGS,+58.411,-135.709,+0012.2,1976-08-01,2025-06-05
703670-99999,GUSTAVUS,US,AK,PAGS,+58.425,-135.707,+0010.0,2000-01-01,2004-12-31
703675-99999,SISTERS ISLAND,US,AK,SSR,+58.167,-135.250,+0011.0,1973-01-01,1984-07-01
703710-25333,SITKA ROCKY GUTIERREZ ARPT,US,AK,PASI,+57.047,-135.367,+0006.0,1973-01-01,2025-06-05
703715-99999,BIORKA ISLAND SAWRS,US,AK,,+56.850,-135.533,+0015.0,1973-01-01,1978-08-29
703724-99999,WILLOW WEST,US,AK,,+61.750,-150.050,+0063.4,1977-12-03,1991-01-24
703810-25309,JUNEAU INTERNATIONAL,US,AK,PAJN,+58.354,-134.556,+0005.9,1973-01-01,2025-06-05
703815-99999,PT. RETREAT (AMOS),US,AK,,+58.400,-134.950,+0015.0,1973-01-01,1989-10-11
703816-99999,FUNTER BAY SEAPLANE,US,AK,,+58.250,-134.900,+0000.0,1974-04-28,1996-06-30
703817-25357,ELFIN COVE SEAPLANE BASE,US,AK,PAEL,+58.192,-136.344,+0006.1,2006-01-01,2025-06-05
703817-99999,ELFIN COVE SEAPLANE,US,AK,PAEL,+58.200,-136.350,+0000.0,1974-12-19,1997-12-31
703830-25310,ANGOON SEAPLANE BASE,US,AK,PAGN,+57.499,-134.586,+0008.5,1973-01-01,2025-06-05
703835-25628,ST. GEORGE AIRPORT,US,AK,PAPB,+56.575,-169.663,+0032.0,2006-01-01,2025-06-05
703835-99999,ST GEORGE,US,AK,PAPB,+56.567,-169.650,+0038.0,1998-02-26,2005-12-31
703850-99999,FIVE FINGER LIGHT,US,,,+57.267,-133.617,+0011.0,1973-01-01,2002-05-24
703855-25369,KAKE AIRPORT,US,AK,PAFE,+56.967,-133.900,+0052.4,2006-01-01,2025-06-05
703855-99999,KAKE,US,AK,PAFE,+56.950,-133.900,+0052.0,1973-01-01,1997-12-31
703860-25329,JAMES A JOHNSON AIRPORT,US,AK,PAPG,+56.806,-132.937,+0032.6,1973-01-01,2025-06-05
703860-99999,PETERSBURG,US,AK,PAPG,+56.817,-132.967,+0000.0,2000-01-01,2004-12-31
703863-99999,FREDERICKS POINT,US,AK,,+56.800,-132.817,+0003.0,1985-06-18,1985-06-18
703865-99999,LEVEL ISLAND,US,AK,,+56.467,-133.100,+0030.0,1973-09-01,1978-03-29
703870-25338,WRANGELL AIRPORT,US,AK,PAWG,+56.473,-132.387,+0017.1,2006-01-01,2025-06-05
703870-99999,WRANGELL,US,AK,PAWG,+56.484,-132.370,+0013.0,1973-01-01,1997-12-31
703880-25315,CAPE DECISION,US,AK,KCDE,+56.000,-134.133,+0014.9,1973-01-01,1989-10-11
703880-99999,CAPE DECISION(AMOS),US,AK,CDE,+56.000,-134.133,+0014.9,2000-12-01,2004-11-23
703884-25376,HYDABURG SEAPLANE BASE,US,AK,PAHY,+55.206,-132.828,+0000.0,2006-01-01,2025-06-05
703884-99999,HYDABURG SEAPLANE BA,US,AK,PAHY,+55.200,-132.833,+0000.0,1978-12-05,1997-12-31
703885-99999,CAPE POLE SEAPLANE,US,AK,Z27,+55.967,-133.800,+0001.0,1974-03-18,1978-08-01
703886-25348,PORT ALEXANDER SPB,US,AK,PAAP,+56.247,-134.645,+0003.7,2006-01-01,2015-11-17
703886-99999,PORT ALEXANDER,US,AK,PAAP,+56.247,-134.650,+0000.0,1979-05-07,1997-12-31
703888-00111,SHAKTOOLIK AIRPORT,US,AK,PFSH,+64.370,-161.224,+0007.0,2010-11-01,2025-06-05
703891-99999,ELIM AIRPORT,US,AK,PFEL,+64.617,-162.267,+0049.0,2013-07-31,2025-06-04
703894-25367,KLAWOCK AIRPORT,US,AK,PAKW,+55.582,-133.075,+0020.8,2000-01-01,2025-06-05
703894-99999,KLAWOCK,US,AK,PAKW,+55.567,-133.067,+0024.0,1980-10-15,1997-12-31
703920-25317,CRAIG SEAPLANE,US,AK,CGA,+55.483,-133.150,+0000.0,1973-01-02,1974-01-29
703920-99999,CRAIG SEAPLANE,US,AK,,+55.483,-133.150,+0000.0,2002-04-25,2002-04-25
703921-99999,,US,AK,,,,,1974-03-01,1974-03-31
703925-00112,KOLIGANEK AIRPORT,US,AK,PAJZ,+59.733,-157.267,+0082.3,2007-05-21,2025-06-05
703925-99999,KOLIGANEK,US,AK,PAJZ,+59.730,-157.260,+0082.0,2008-01-01,2008-12-31
703926-99999,AKHIOK,US,AK,PAKH,+56.933,-154.183,+0013.0,2007-05-21,2025-06-04
703930-99999,,,,,,,,2001-09-21,2004-05-21
703950-25325,KETCHIKAN INTL AIRPORT,US,AK,PAKT,+55.359,-131.722,+0025.7,1973-01-01,2025-06-05
